Project,Benchmark,Length,Relative,Score,Score Error (99.9%),Source
Commons Math,RandomDataGenerator_nextHexStringModified,32,0.71,5134.13,901.97,MWC_256
Commons Math,RandomDataGenerator_nextHexStringOriginal,32,0.79,5765.13,1035.73,MWC_256
Commons Text,RandomStringGeneratorWith16CodePoints,32,0.48,3489.17,350.80,MWC_256
Commons Text,RandomStringGeneratorWithCharArray,32,1.00,7272.30,1561.01,MWC_256
Commons Lang,RandomStringUtilsWith16CodePoints,32,0.36,2625.80,531.60,MWC_256
Commons Lang,RandomStringUtilsWithCharArray,32,0.27,1959.39,387.83,MWC_256
new,StringSampler,32,0.11,767.66,87.82,MWC_256
Commons Math,RandomDataGenerator_nextHexStringModified,1024,0.60,158299.69,34511.27,MWC_256
Commons Math,RandomDataGenerator_nextHexStringOriginal,1024,0.69,180881.19,37178.68,MWC_256
Commons Text,RandomStringGeneratorWith16CodePoints,1024,0.41,108153.76,971.25,MWC_256
Commons Text,RandomStringGeneratorWithCharArray,1024,1.00,262882.34,20755.97,MWC_256
Commons Lang,RandomStringUtilsWith16CodePoints,1024,0.25,66847.43,249.34,MWC_256
Commons Lang,RandomStringUtilsWithCharArray,1024,0.23,60361.13,11573.35,MWC_256
new,StringSampler,1024,0.067,17607.86,3257.58,MWC_256
